time,physical,total_energy
0,0,0
0.031691265005706,7022800896,5209.8932389875
0.05704427701027,7363772416,4675.2342725942
0.077326686613922,7511511040,4429.7398917809
0.093552614296843,7635341312,4284.8232377731
0.10653335644318,7730499584,4191.0800197133
0.11691795016025,7787667456,4126.4051608236
0.12730254387732,7854198784,4069.9945232574
0.13768713759439,7910309888,4019.5310071622
0.14807173131146,7956475904,3974.4107081339
0.15845632502853,7998746624,3933.6063787542
0.1688409187456,8043319296,3896.4540475821
0.17922551246267,8077737984,3862.4313361242
0.18961010617974,8121761792,3831.5032875339
0.19999469989681,8153026560,3803.1761168477
0.21037929361388,8175816704,3776.510351693
0.22076388733095,8205697024,3751.8468091213
0.23114848104802,8227921920,3729.2935993508
0.24153307476509,8252129280,3708.5705829416
0.25191766848216,8270544896,3689.0915129227
0.26230226219923,8301735936,3671.0424320141
0.2726868559163,8319283200,3654.2036752019
0.28307144963337,8340439040,3638.4720175789
0.29345604335043,8359944192,3623.9223821628
0.3038406370675,8381026304,3610.0302198699
0.31422523078457,8405557248,3597.3844446769
0.32460982450164,8415293440,3585.5537224352
0.33499441821871,8431525888,3574.3718873603
0.34537901193578,8455057408,3563.1586374794
0.35576360565285,8474529792,3553.5487521674
0.36614819936992,8489701376,3543.9921504786
0.37653279308699,8502185984,3535.0376210648
0.38691738680406,8522248192,3526.5510013574
0.39730198052113,8538173440,3518.9890976735
0.4076865742382,8552333312,3511.3176623783
0.41807116795527,8565805056,3504.2254816845
0.42845576167234,8584286208,3497.7295717632
0.43884035538941,8598274048,3491.2461678855
0.44922494910648,8611368960,3485.2307366438
0.45960954282355,8617648128,3479.9222426619
0.46999413654062,8632639488,3474.1475823184
0.48037873025769,8651448320,3468.5898460786
0.49076332397476,8663724032,3463.5431264701
0.50114791769183,8675880960,3458.868628048
0.5115325114089,8680910848,3454.0901210429
0.52191710512597,8694362112,3449.4288280493
0.53230169884304,8703049728,3445.3735928685
0.54268629256011,8709513216,3440.8778762895
0.55307088627718,8719319040,3436.7352022386
0.56345547999425,8730357760,3432.6347741773
0.57384007371132,8739135488,3428.5647154389
0.58422466742839,8748068864,3424.6573731781
0.59460926114546,8756224000,3420.992497457
0.60499385486253,8766181376,3417.2745097763
0.61537844857959,8775385088,3413.5954266459
0.62576304229666,8780247040,3410.1288341791
0.63614763601373,8790028288,3406.7126694748
0.6465322297308,8797474816,3403.0869389438
0.65691682344787,8804835328,3399.8611178699
0.66730141716494,8811978752,3396.5469481154
0.67768601088201,8818982912,3393.1333053336
0.68807060459908,8827211776,3389.872525923
0.69845519831615,8834752512,3386.4880889883
0.70883979203322,8842948608,3383.3809862064
0.71922438575029,8850550784,3380.4114871817
0.72960897946736,8858828800,3377.3835924661
0.73999357318443,8863170560,3374.322558848
0.7503781669015,8871755776,3371.3013347239
0.76076276061857,8882823168,3368.1692187489
0.77114735433564,8889012224,3365.2862786799
0.78153194805271,8895713280,3362.3441745801
0.79191654176978,8902705152,3359.3712377105
0.80230113548685,8909631488,3356.4520229563
0.81268572920392,8916672512,3353.5898021389
0.82307032292099,8922378240,3350.2155800334
0.83345491663806,8928579584,3347.1778189824
0.84383951035513,8934002688,3344.2680181086
0.8542241040722,8940912640,3341.1931059506
0.86460869778927,8946413568,3338.2481417003
0.87499329150634,8954494976,3335.4339838017
0.88537788522341,8960454656,3332.551368067
0.89576247894048,8965058560,3329.5043105933
0.90614707265755,8969916416,3326.6174878458
0.91653166637462,8976969728,3324.4273374899
0.92691626009169,8983015424,3321.7962154897
0.93730085380875,8989278208,3319.0030546008
0.94768544752582,8995692544,3316.3424743375
0.95807004124289,9001377792,3313.5975321517
0.96845463495996,9007538176,3310.9183179132
0.97883922867703,9014820864,3308.2981196398
0.9892238223941,9020162048,3305.9598650126
0.99960841611117,9026703360,3303.5063181378
1.0099930098282,9032404992,3300.495692216
1.0203776035453,9038241792,3297.9107245334
1.0307621972624,9044713472,3295.3518483655
1.0411467909795,9051402240,3292.8345769902
1.0515313846965,9056526336,3290.2008112927
1.0619159784136,9062506496,3287.6503973254
1.0723005721307,9067491328,3285.1114278484
1.0826851658477,9072906240,3282.6378709745
1.0930697595648,9077071872,3280.3024568787
1.1034543532819,9083420672,3277.8014075254
1.1138389469989,9087934464,3274.816178635
1.124223540716,9093402624,3272.3165532833
1.1346081344331,9098244096,3269.6917718559
1.1449927281501,9104228352,3267.1960179663
1.1553773218672,9112825856,3264.6792042059
1.1657619155843,9118568448,3262.2167858187
1.1761465093014,9122299904,3259.7536435047
1.1865311030184,9127829504,3257.3024502104
1.1969156967355,9133502464,3254.8551752795
1.2073002904526,9138491392,3252.429391148
1.2176848841696,9143541760,3249.7448251867
1.2280694778867,9148289024,3247.323458607
1.2384540716038,9154007040,3245.1588046821
1.2488386653208,9157775360,3242.7830869328
1.2592232590379,9162592256,3240.2499989857
1.269607852755,9168003072,3237.8832067688
1.2799924464721,9172410368,3235.5375189239
1.2903770401891,9178460160,3233.1837363922
1.3007616339062,9183580160,3230.8532576382
1.3111462276233,9188503552,3228.5177525638
1.3215308213403,9193312256,3226.1665451384
1.3319154150574,9197383680,3224.5646669879
1.3423000087745,9202458624,3222.2603542794
1.3526846024915,9208635392,3219.9609971006
1.3630691962086,9214885888,3217.7092581911
1.3734537899257,9219678208,3215.4188303949
1.3838383836428,9225359360,3213.1065901506
1.3942229773598,9229996032,3210.824014134
1.4046075710769,9234358272,3208.5312395122
1.414992164794,9239076864,3206.2620473832
1.425376758511,9244422144,3203.9913516732
1.4357613522281,9249128448,3201.7130410732
